id;name
1;100% полиэстер
2;100% шелк
3;полиэфир
4;полиэстер
5;органза
6;70% хлопок, 30% полиэстер
7; 40% хлопок, 60% полиэстер
8; 55% хлопок, 45% полиэстер
9; 50% хлопок, 50% полиэстер
10;55% полиэстер, 45% хлопок
11;100% полиэстер 
