article;name;width_mm;length_mm;dimension_unit;weight_value;weight_unit;type_code;image_path;price
JZ-5;"Тесьма отделочная ""Gamma"" ""ЗИГ-ЗАГ""";5.0;3000.0;;0;гр;28;JZ-5.jpg;142.00
HVK-07;"Тесьма декоративная ""Gamma"" кружевная";20.0;3000.0;;0;гр;28;HVK-07.jpg;242.00
HVK-04;"Тесьма декоративная ""Gamma"" кружевная";14.0;3000.0;;0;гр;28;HVK-04.jpg;221.00
HVK-06;"Тесьма декоративная ""Gamma"" кружевная";14.0;3000.0;;0;гр;28;HVK-06.jpg;221.00
HVK-01;"Тесьма декоративная ""Gamma"" кружевная";12.0;3000.0;;0;гр;28;HVK-01.jpg;183.00
HVK-19;"Тесьма декоративная ""Gamma"" кружевная";18.0;3000.0;;0;гр;28;HVK-19.jpg;238.00
HVK-02;"Тесьма декоративная ""Gamma"" кружевная";12.0;3000.0;;0;гр;28;HVK-02.jpg;195.00
HVK-03;"Тесьма декоративная ""Gamma"" кружевная";12.0;3000.0;;0;гр;28;HVK-03.jpg;183.00
SR-7;"Тесьма декоративная ""Gamma"" шелковая";7.0;9100.0;;0;гр;28;SR-7.jpg;249.00
HVK-05;"Тесьма декоративная ""Gamma"" кружевная";13.0;3000.0;;0;гр;28;HVK-05.jpg;221.00
GRC-121;"Тесьма декоративная ""Gamma"" с рисунком";12.0;3000.0;;0;гр;28;GRC-121.jpg;129.00
JFL-01;"""Annet"" лента из фетра";12.0;3000.0;;0;гр;28;JFL-01.jpg;213.00
HVK-10;"Тесьма декоративная ""Gamma"" кружевная";27.0;3000.0;;0;гр;28;HVK-10.jpg;284.00
WD-34;"Тесьма декоративная ""Gamma""";7.0;3000.0;;0;гр;28;WD-34.jpg;130.00
SR-13;"Тесьма декоративная ""Gamma"" шелковая";13.0;9100.0;;0;гр;28;SR-13.jpg;361.00
WD-45;"Тесьма декоративная ""Gamma""";16.0;3000.0;;0;гр;28;WD-45.jpg;273.00
HVK-13;"Тесьма декоративная ""Gamma"" кружевная";8.0;3000.0;;0;гр;28;HVK-13.jpg;200.00
HVK-08;"Тесьма декоративная ""Gamma"" кружевная";25.0;3000.0;;0;гр;28;HVK-08.jpg;284.00
WD-48;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-48.jpg;190.00
ALP-103;"Лента атласная с рисунком ""Gamma""";10.0;3000.0;;0;гр;28;ALP-103.jpg;115.00
WD-46;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-46.jpg;190.00
HVK-18;"Тесьма декоративная ""Gamma"" кружевная";16.0;3000.0;;0;гр;28;HVK-18.jpg;235.00
HVK-16;"Тесьма декоративная ""Gamma"" кружевная";14.0;3000.0;;0;гр;28;HVK-16.jpg;221.00
WD-32;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-32.jpg;160.00
HVK-15;"Тесьма декоративная ""Gamma"" кружевная";13.0;3000.0;;0;гр;28;HVK-15.jpg;221.00
GRC-124;"Тесьма декоративная ""Gamma"" с рисунком";12.0;3000.0;;0;гр;28;GRC-124.jpg;156.00
HVK-25;"Тесьма декоративная ""Gamma"" кружевная";20.0;3000.0;;0;гр;28;HVK-25.jpg;242.00
ALP-064;"Лента атласная ""Gamma"" с рисунком";6.0;3000.0;;0;гр;28;ALP-064.jpg;121.00
WD-47;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-47.jpg;190.00
HVK-21;"Тесьма декоративная ""Gamma"" кружевная";6.0;3000.0;;0;гр;28;HVK-21.jpg;181.00
HVK-12;"Тесьма декоративная ""Gamma"" кружевная";8.0;3000.0;;0;гр;28;HVK-12.jpg;200.00
HVK-22;"Тесьма декоративная ""Gamma"" кружевная";7.0;3000.0;;0;гр;28;HVK-22.jpg;200.00
WD-60;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-60.jpg;179.00
WD-30;"Тесьма декоративная ""Gamma""";16.0;3000.0;;0;гр;28;WD-30.jpg;160.00
HVK-09;"Тесьма декоративная ""Gamma"" кружевная";29.0;3000.0;;0;гр;28;HVK-09.jpg;327.00
HVK-23;"Тесьма декоративная ""Gamma"" кружевная";10.0;3000.0;;0;гр;28;HVK-23.jpg;211.00
HVK-27;"Тесьма декоративная ""Gamma"" кружевная";20.0;3000.0;;0;гр;28;HVK-27.jpg;242.00
HVK-30;"Тесьма декоративная ""Gamma"" кружевная";45.0;3000.0;;0;гр;28;HVK-30.jpg;414.00
WD-50;"Тесьма декоративная ""Gamma""";20.0;3000.0;;0;гр;28;WD-50.jpg;200.00
HVK-20;"Тесьма декоративная ""Gamma"" кружевная";22.0;3000.0;;0;гр;28;HVK-20.jpg;242.00
WD-55;"Тесьма декоративная ""Gamma""";12.0;3000.0;;0;гр;28;WD-55.jpg;179.00
JZ-5М;"Тесьма отделочная ""Gamma"" ""ЗИГ-ЗАГ""";5.0;3000.0;;0;гр;28;JZ-5М.jpg;219.00
SRM-2;"Тесьма декоративная ""Gamma"" шелковая";2.0;9100.0;;0;гр;28;SRM-2.jpg;186.00
WD-53;"Тесьма декоративная ""Gamma""";50.0;3000.0;;0;гр;28;WD-53.jpg;278.00
JZ-3M;"Тесьма отделочная ""Gamma"" ""ЗИГ-ЗАГ""";3.0;3000.0;;0;гр;28;JZ-3M.jpg;194.00
SRM-7;"Тесьма декоративная ""Gamma"" шелковая";7.0;9100.0;;0;гр;28;SRM-7.jpg;373.00
WD-49;"Тесьма декоративная ""Gamma""";20.0;3000.0;;0;гр;28;WD-49.jpg;200.00
HVK-29;"Тесьма декоративная ""Gamma"" кружевная";32.0;3000.0;;0;гр;28;HVK-29.jpg;359.00
WD-42;"Тесьма декоративная ""Gamma""";23.0;3000.0;;0;гр;28;WD-42.jpg;207.00
WD-57;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-57.jpg;177.00
HVK-11;"Тесьма декоративная ""Gamma"" кружевная";7.0;3000.0;;0;гр;28;HVK-11.jpg;200.00
WD-35;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-35.jpg;160.00
GRC-122;"Тесьма декоративная ""Gamma"" с рисунком";12.0;3000.0;;0;гр;28;GRC-122.jpg;141.00
SRM-4;"Тесьма декоративная ""Gamma"" шелковая";4.0;9100.0;;0;гр;28;SRM-4.jpg;271.00
WD-58;"Тесьма декоративная ""Gamma""";18.0;3000.0;;0;гр;28;WD-58.jpg;193.00
CLP-201;"Тесьма декоративная ""Gamma"" с рисунком";20.0;3000.0;;0;гр;28;CLP-201.jpg;129.00
WD-39;"Тесьма декоративная ""Gamma""";23.0;3000.0;;0;гр;28;WD-39.jpg;209.00
WD-54;"Тесьма декоративная ""Gamma""";8.0;3000.0;;0;гр;28;WD-54.jpg;169.00
HVK-28;"Тесьма декоративная ""Gamma"" кружевная";28.0;3000.0;;0;гр;28;HVK-28.jpg;327.00
WD-37;"Тесьма декоративная ""Gamma""";25.0;3000.0;;0;гр;28;WD-37.jpg;207.00
HVK-14;"Тесьма декоративная ""Gamma"" кружевная";9.0;3000.0;;0;гр;28;HVK-14.jpg;213.00
HVK-26;"Тесьма декоративная ""Gamma"" кружевная";15.0;3000.0;;0;гр;28;HVK-26.jpg;232.00
WD-38;"Тесьма декоративная ""Gamma""";35.0;3000.0;;0;гр;28;WD-38.jpg;281.00
HVK-24;"Тесьма декоративная ""Gamma"" кружевная";14.0;3000.0;;0;гр;28;HVK-24.jpg;221.00
WD-31;"Тесьма декоративная ""Gamma""";16.0;3000.0;;0;гр;28;WD-31.jpg;160.00
WD-51;"Тесьма декоративная ""Gamma""";25.0;3000.0;;0;гр;28;WD-51.jpg;207.00
CLP-163;"Тесьма декоративная ""Gamma"" с рисунком";16.0;3000.0;;0;гр;28;CLP-163.jpg;149.00
WD-40;"Тесьма декоративная ""Gamma""";37.0;3000.0;;0;гр;28;WD-40.jpg;278.00
CLP-303;"Тесьма декоративная ""Gamma"" с рисунком";30.0;3000.0;;0;гр;28;CLP-303.jpg;227.00
WD-29;"Тесьма декоративная ""Gamma""";12.0;3000.0;;0;гр;28;WD-29.jpg;140.00
WD-56;"Тесьма декоративная ""Gamma""";15.0;3000.0;;0;гр;28;WD-56.jpg;202.00
WD-59;"Тесьма декоративная ""Gamma""";16.0;3000.0;;0;гр;28;WD-59.jpg;179.00
WD-33;"Тесьма декоративная ""Gamma""";22.0;3000.0;;0;гр;28;WD-33.jpg;215.00
MRP-25;"Тесьма ""Gamma""";25.0;3000.0;;0;гр;28;MRP-25.jpg;93.00
WD-63;"Тесьма декоративная ""Gamma""";40.0;3000.0;;0;гр;28;WD-63.jpg;148.00
MTR-16;"Тесьма ""Gamma"" металлизированная";10.0;3000.0;;0;гр;28;MTR-16.jpg;167.00
MTR-13;"Тесьма ""Gamma"" металлизированная";33.0;3000.0;;0;гр;28;MTR-13.jpg;198.00
MTR-14;"Тесьма ""Gamma"" металлизированная";16.0;3000.0;;0;гр;28;MTR-14.jpg;248.00
MTR-07;"Тесьма ""Gamma"" металлизированная";27.0;3000.0;;0;гр;28;MTR-07.jpg;345.00
TRJ-20;"Лента жаккардовая ""Gamma""";12.0;3000.0;;0;гр;28;TRJ-20.jpg;267.50
LRW-07;"Тесьма декоративная ""Blumentag"" декоративная";63.0;3000.0;;0;гр;28;LRW-07.jpg;324.80
3033;"Гипюр ""GAMMA""";35.0;3000.0;;0;гр;28;3033.jpg;189.90
3285;"Гипюр ""GAMMA""";37.0;3000.0;;0;гр;28;3285.jpg;108.00
TRJ-01;"Лента жаккардовая ""Gamma""";22.0;3000.0;;0;гр;28;TRJ-01.jpg;101.00
TRJ-36;"Лента жаккардовая ""Gamma""";16.0;3000.0;;0;гр;28;TRJ-36.jpg;190.60
3069;"Гипюр ""GAMMA""";40.0;3000.0;;0;гр;28;3069.jpg;178.50
3197;"Гипюр ""GAMMA""";50.0;3000.0;;0;гр;28;3197.jpg;118.80
TRJ-43;"Лента жаккардовая ""Gamma""";11.0;3000.0;;0;гр;28;TRJ-43.jpg;87.00
3172;"Гипюр ""GAMMA""";35.0;3000.0;;0;гр;28;3172.jpg;115.00
FBL-04;"Тесьма декоративная ""BLITZ""";10.0;3000.0;;0;гр;28;FBL-04.jpg;132.00
LRW-10;"Тесьма декоративная ""Blumentag"" декоративная";63.0;3000.0;;0;гр;28;LRW-10.jpg;151.00
3301;"Гипюр ""GAMMA""";30.0;3000.0;;0;гр;28;3301.jpg;173.00
3055;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3055.jpg;101.00
3124;"Гипюр ""GAMMA""";25.0;3000.0;;0;гр;28;3124.jpg;104.00
3199;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3199.jpg;167.00
3009;"Гипюр ""GAMMA""";45.0;3000.0;;0;гр;28;3009.jpg;98.00
TRJ-02;"Лента жаккардовая ""Gamma""";22.0;3000.0;;0;гр;28;TRJ-02.jpg;151.00
3307;"Гипюр ""GAMMA""";31.0;3000.0;;0;гр;28;3307.jpg;163.00
3292;"Гипюр ""GAMMA""";55.0;3000.0;;0;гр;28;3292.jpg;110.00
3140;"Гипюр ""GAMMA""";55.0;3000.0;;0;гр;28;3140.jpg;169.00
3139;"Гипюр ""GAMMA""";37.0;3000.0;;0;гр;28;3139.jpg;142.00
LRW-24;"Тесьма декоративная ""Blumentag"" декоративная";63.0;3000.0;;0;гр;28;LRW-24.jpg;242.00
LRW-29;"Тесьма декоративная ""Blumentag"" декоративная";63.0;3000.0;;0;гр;28;LRW-29.jpg;221.00
3157;"Гипюр ""GAMMA""";40.0;3000.0;;0;гр;28;3157.jpg;221.00
3123;"Гипюр ""GAMMA""";45.0;3000.0;;0;гр;28;3123.jpg;183.00
3264;"Гипюр ""GAMMA""";25.0;3000.0;;0;гр;28;3264.jpg;238.00
3300;"Гипюр ""GAMMA""";57.0;3000.0;;0;гр;28;3300.jpg;195.00
3177;"Гипюр ""GAMMA""";50.0;3000.0;;0;гр;28;3177.jpg;183.00
6260;"Гипюр ""GAMMA""";14.0;3000.0;;0;гр;28;6260.jpg;249.00
3259;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3259.jpg;221.00
127;"Шитье ""Gamma"" цветное";60.0;3000.0;;0;гр;52;127.jpg;129.00
3091;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3091.jpg;213.00
3019;"Гипюр ""GAMMA""";40.0;3000.0;;0;гр;28;3019.jpg;284.00
3244;"Гипюр ""GAMMA""";25.0;3000.0;;0;гр;28;3244.jpg;130.00
3323;"Гипюр ""GAMMA""";65.0;3000.0;;0;гр;28;3323.jpg;361.00
3096;"Гипюр ""GAMMA""";30.0;3000.0;;0;гр;28;3096.jpg;273.00
3125;"Гипюр ""GAMMA""";25.0;3000.0;;0;гр;28;3125.jpg;200.00
3112;"Гипюр ""GAMMA""";28.0;3000.0;;0;гр;28;3112.jpg;284.00
8162;"Гипюр ""GAMMA""";16.0;3000.0;;0;гр;28;8162.jpg;190.00
8481;"Кружево ""Gamma"" ";85.0;3000.0;;0;гр;52;8481.jpg;115.00
1235;"Кружево ""Gamma""";200.0;3000.0;;0;гр;52;1235.jpg;190.00
LRW-22;"Тесьма декоративная ""Blumentag"" декоративная";63.0;3000.0;;0;гр;28;LRW-22.jpg;235.00
52214;"Кружево ""Gamma""";80.0;3000.0;;0;гр;52;52214.jpg;221.00
TRJ-22;"Лента жаккардовая ""Gamma""";35.0;3000.0;;0;гр;28;TRJ-22.jpg;160.00
TRJ-23;"Лента жаккардовая ""Gamma""";25.0;3000.0;;0;гр;28;TRJ-23.jpg;221.00
3210;"Гипюр ""GAMMA""";35.0;3000.0;;0;гр;28;3210.jpg;156.00
3090;"Гипюр ""GAMMA""";40.0;3000.0;;0;гр;28;3090.jpg;242.00
3202;"Гипюр ""GAMMA""";69.0;3000.0;;0;гр;28;3202.jpg;121.00
 3178;"Гипюр ""GAMMA""";62.0;3000.0;;0;гр;28; 3178.jpg;190.00
14983;"Гипюр ""GAMMA""";57.0;3000.0;;0;гр;28;14983.jpg;181.00
3254;"Гипюр ""GAMMA""";28.0;3000.0;;0;гр;28;3254.jpg;200.00
3100;"Гипюр ""GAMMA""";55.0;3000.0;;0;гр;28;3100.jpg;200.00
3302;"Гипюр ""GAMMA""";61.0;3000.0;;0;гр;28;3302.jpg;179.00
GML-113;"Тесьма декоративная ""Gamma"" с пайетками";13.0;3000.0;;0;гр;28;GML-113.jpg;160.00
RG-35;"Тесьма декоративная ""Gamma"" ""Георгиевская""";35.0;3000.0;;0;гр;28;RG-35.jpg;327.00
TRJ-19;"Лента жаккардовая ""Gamma""";20.0;3000.0;;0;гр;28;TRJ-19.jpg;211.00
TRJ-17;"Лента жаккардовая ""Gamma""";20.0;3000.0;;0;гр;28;TRJ-17.jpg;242.00
TRJ-53;"Лента жаккардовая ""Gamma""";25.0;3000.0;;0;гр;28;TRJ-53.jpg;414.00
TRJ-32;"Лента жаккардовая ""Gamma""";16.0;3000.0;;0;гр;28;TRJ-32.jpg;200.00
TRJ-04;"Лента жаккардовая ""Gamma""";50.0;3000.0;;0;гр;28;TRJ-04.jpg;242.00
TRJ-64;"Лента жаккардовая ""Gamma""";25.0;3000.0;;0;гр;28;TRJ-64.jpg;179.00
TRJ-09;"Лента жаккардовая ""Gamma""";20.0;3000.0;;0;гр;28;TRJ-09.jpg;219.00
Aquilegia;"ента декоративная ""Floranta""";25.0;3000.0;;0;гр;28;Aquilegia.jpg;186.00
JL-01;"Тесьма декоративная ""BLITZ""";15.0;3000.0;;0;гр;28;JL-01.jpg;278.00
Crocus;"Лента декоративная ""Floranta""";15.0;3000.0;;0;гр;28;Crocus.jpg;194.00
3180;"Гипюр ""GAMMA""";50.0;3000.0;;0;гр;28;3180.jpg;373.00
3320;"Гипюр ""GAMMA""";65.0;3000.0;;0;гр;28;3320.jpg;200.00
52127;"Гипюр ""GAMMA""";21.0;3000.0;;0;гр;28;52127.jpg;359.00
3068;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3068.jpg;207.00
3080;"Гипюр ""GAMMA""";33.0;3000.0;;0;гр;28;3080.jpg;177.00
3111;"Гипюр ""GAMMA""";20.0;3000.0;;0;гр;28;3111.jpg;200.00
3290;"Гипюр ""GAMMA""";22.0;3000.0;;0;гр;28;3290.jpg;160.00
3309;"Гипюр ""GAMMA""";55.0;3000.0;;0;гр;28;3309.jpg;141.00
Scabiosa;"Лента декоративная ""Floranta""";30.0;3000.0;;0;гр;28;Scabiosa.jpg;271.00
Vallota;"Лента декоративная ""Floranta""";20.0;3000.0;;0;гр;28;Vallota.jpg;193.00
